id,領域,題型,難度,題目,圖片網址,A,B,C,D,正解,刪除選項優先,結論,詳解,冷知識,主持人口白,出處,狀態
L26,法律,📕 法條冷門角落,1,你飼養的狗跑出門咬傷路人，原則上民法要由誰負賠償責任？,,你自己（占有人）,咬人的狗,路人自己活該,政府,A,D,動物占有人原則負賠償責任,民法第190條規定，動物加損害於他人，由其占有人負損害賠償責任，除非已盡相當注意仍不免發生損害。,如果狗被別的動物挑動咬人，占有人對挑動者有求償權。,養狗不只要遛，法律責任也要一起遛出門。,民法第190條,上架
L27,法律,📕 法條冷門角落,1,你和朋友假裝簽一份「假買賣契約」，這份契約在法律上算什麼？,,有效但可撤銷,效力未定,無效,一定要告知法院才生效,C,D,通謀虛偽意思表示原則上無效,民法第87條規定，表意人與相對人通謀而為虛偽意思表示者，其意思表示無效，但不得以其無效對抗善意第三人。,若假契約其實隱藏另一個真契約，法律上會直接適用那個真契約的規定。,演戲簽約沒關係，但法律看得懂你們在演。,民法第87條,上架
L28,法律,📕 法條冷門角落,2,鄰居蓋房子不小心蓋過你家土地界線，你當下沒有抗議，後來還能要求拆除嗎？,,可以隨時要求拆除,一定要拆,只能報警,不可以，但可請求償金,D,C,知越界不即異議不得請求拆除,民法第796條規定，房屋非因故意或重大過失越界建築，鄰地所有人知情卻不即提異議者，不得請求移去或變更，但得請求償金。,鄰地所有人事後還可以請求土地所有人按價購買越界的畸零地。,沒有馬上抗議，法律就當你默許了一半。,民法第796條,上架
L29,法律,📕 法條冷門角落,2,你在路上撿到錢包並報警招領，多久後若無人認領，錢包就歸你所有？,,6個月,1個月,3個月,1年,A,D,招領逾6個月無人認領歸拾得人,民法第807條規定，遺失物自通知或最後招領之日起逾6個月未經有受領權人認領，由拾得人取得所有權，逾期未領取則歸地方自治團體。,就算歸你了，警察機關仍會先通知你去領取，別忘了去拿。,撿到錢包不代表馬上發財，法律讓你先等半年。,民法第807條,上架
L30,法律,📕 法條冷門角落,3,兒子偷了同住父親的錶，這種「親屬相盜」在刑法上會怎麼處理？,,一律不罰,加重處罰,只能私下解決,得免除其刑,D,C,直系血親同財共居間犯竊盜得免除其刑,刑法第324條規定，於直系血親、配偶或同財共居親屬間犯竊盜等罪，得免除其刑；其他五親等內血親或三親等內姻親間犯之則須告訴乃論。,這條規定的邏輯是希望家務糾紛盡量留在家裡處理，而非動用國家刑罰。,一家人的東西，法律也想先讓你們自己談。,刑法第324條,上架
L31,法律,📕 法條冷門角落,3,A把不當得利的錶無償送給不知情的B，A因此不用還了，B會怎樣？,,要在受益範圍內負返還責任,完全不用負責,要負全部刑事責任,只有A的家人要負責,A,C,無償轉得人於受益範圍內負返還責任,民法第183條規定，不當得利受領人無償讓與第三人、因此免返還義務者，第三人於所免返還義務的限度內，負返還責任。,這條是為了避免有心人用先送人的方式規避返還不當得利的義務。,想把贓來的好處送人脫身？法律早就想到你了。,民法第183條,上架
L32,法律,📕 法條冷門角落,4,對直系血親尊親屬犯殺人罪，依刑法規定，刑度會怎麼變化？,,減輕至二分之一,不受影響,加重至二分之一,直接論以唯一死刑,C,D,對尊親屬犯殺人罪加重其刑至二分之一,刑法第272條規定，對於直系血親尊親屬犯殺人罪者，加重其刑至二分之一，體現傳統倫常在刑法上的特殊評價。,這種加重血親尊親屬罪責的立法方式，在傷害罪、遺棄罪等條文中也能看到類似設計。,對父母動手，法律的天平會壓得更重。,刑法第272條,上架
L33,法律,📕 法條冷門角落,4,一般傷害罪原則上告訴乃論，但公務員執行職務時犯傷害罪，會有什麼不同？,,一樣要告訴乃論,直接不罰,只能提國賠,不受告訴乃論限制,D,C,公務員執行職務犯傷害罪不受告訴乃論限制,刑法第287條規定，普通傷害罪原則須告訴乃論，但公務員於執行職務時犯該罪者不在此限，也就是不須被害人提告即可訴追。,這項例外設計常被討論與執法過當的究責問題有關。,執法過了頭，法律不會等你提告才處理。,刑法第287條,上架
L34,法律,📕 法條冷門角落,5,犯竊盜罪情節輕微顯可憫恕，就算依刑法第59條減刑仍嫌過重，法院還能怎麼做？,,只能判無罪,得依第61條免除其刑,一律緩起訴,沒有其他辦法,B,A,情節輕微顯可憫恕得依第61條免除其刑,刑法第61條列舉竊盜、侵占、詐欺、恐嚇等特定輕罪，若情節輕微顯可憫恕、減刑仍嫌過重，法院得免除其刑，是比第59條更進一步的規定。,這條列舉的罪名裡也包含贓物罪與背信罪，但不是所有輕罪都適用。,有些小案子，法律也懂得放你一馬。,刑法第61條,上架
L35,法律,📕 法條冷門角落,5,對被繼承人有重大虐待或侮辱，依民法規定何時才會真正喪失繼承權？,,只要虐待就自動喪失,完全不會喪失,經被繼承人表示不得繼承才喪失,需要法院主動宣告,C,A,重大虐待侮辱經被繼承人表示才喪失繼承權,民法第1145條規定，對被繼承人有重大虐待或侮辱情事，須經被繼承人表示其不得繼承，才會喪失繼承權，並非虐待行為本身自動生效。,其他喪失繼承權事由像偽造遺囑，則不需要被繼承人另外表示即可生效。,想剝奪不孝子女的繼承權，記得要親口或留字說清楚。,民法第1145條,上架
L36,法律,⚖️ 憲法法庭與實務,1,釋字第666號宣告「罰娼不罰嫖」違反什麼原則？,,平等原則,罪刑法定原則,比例原則,正當法律程序,A,D,罰娼不罰嫖違反平等原則,釋字第666號解釋認為，社會秩序維護法僅處罰性交易中意圖得利的一方、不罰支付對價的相對人，這種差別待遇欠缺正當理由，違反憲法平等原則。,這號解釋讓相關規定定期失效，促使後來修法轉向管理而非片面處罰。,一個巴掌拍不響，法律終於也這樣覺得。,司法院釋字第666號,上架
L37,法律,⚖️ 憲法法庭與實務,1,釋字第407號對「猥褻出版品」的定義，主要是從哪個角度去判斷？,,作者的主觀意圖,客觀上是否引起普通人羞恥厭惡感,出版社的規模,是否曾被查禁過,B,A,猥褻出版品以客觀上是否引發羞恥厭惡感判斷,釋字第407號解釋指出，猥褻出版品指客觀上足以刺激或滿足性慾、並引起普通一般人羞恥或厭惡感、有礙社會風化的出版品，須就整體特性與目的觀察。,這號解釋同時強調藝術、醫學、教育性出版品應與猥褻出版品區別對待。,什麼算猥褻，法律說要看一般人的臉紅程度。,司法院釋字第407號,上架
