id,領域,題型,難度,題目,圖片網址,A,B,C,D,正解,刪除選項優先,結論,詳解,冷知識,主持人口白,出處,狀態
L01,法律,📕 法條冷門角落,1,你家院子的果樹結果，果實熟了自己掉進隔壁院子，這顆水果依民法歸誰？,,鄰居,你,你和鄰居各半,先摘到算誰的,A,D,果實自落鄰地，歸鄰地所有人,民法第798條規定，果實自落於鄰地，視為屬於鄰地所有人，除非鄰地是公用地。水果一滾過去，法律上就不是你的了。,若是你伸手搖樹讓果實掉過去，就不適用這條規定。,以後種果樹要種院子正中間，不然水果會用民法跟你說再見。,民法第798條,上架
L02,法律,📕 法條冷門角落,2,你要修外牆需暫時借用鄰居土地搭鷹架，鄰居可以直接拒絕嗎？,,可以，土地神聖不可侵犯,不行，但你要付償金,不行，而且免費,只有政府機關才能要求,B,D,鄰地有使用必要，鄰居不得拒絕但可請求償金,民法第792條規定，因鄰地所有人營造或修繕建築物有使用鄰地土地之必要時，鄰地所有人應許其使用，但受有損害者得請求償金。,,鄰居再兇也擋不住這條，頂多跟你要一杯咖啡錢。,民法第792條,上架
L03,法律,📕 法條冷門角落,3,你幫朋友整修老房子，從牆裡挖出一罐主人不明的古早金幣，依民法歸誰？,,全歸你,全歸屋主,你和屋主各一半,直接歸國庫,C,D,埋藏物由發見人與所有人各取得一半,民法第808條規定，在他人不動產中發見埋藏物並占有，發見人與該不動產所有人各取得埋藏物之半。若有學術考古價值，依第809條另依特別法規定。,挖到寶藏第一件事不是開香檳，是先查它有沒有歷史價值。,考試時背過，但真的挖到的那一刻，大家應該都會先想第809條吧？,民法第808條、第809條,上架
L04,法律,📕 法條冷門角落,4,一對17歲的高中生情侶想依民法「訂婚」，法律上可以嗎？,,可以，訂婚沒有年齡限制,不行，訂婚也要滿18歲,不行，只有男生可以先訂,可以，17歲剛好達到門檻,D,C,男女未滿17歲不得訂定婚約,民法第973條規定，男女未滿17歲不得訂定婚約，滿17歲即可訂婚。但結婚仍須有完全行為能力（現行為18歲），訂婚門檻比結婚低一年。,,訂婚可以先卡位，結婚還是要等生日蛋糕多一年。,民法第973條,上架
L05,法律,📕 法條冷門角落,5,撿到錢包還給失主，下列哪種情況下你「不能」向失主請求報酬？,,你是超商店員在店裡撿到的,錢包裡有現金,你自己主動送到派出所,失主是外國人,A,D,公共場所受僱人拾得遺失物不得請求報酬,民法第805條之1規定，在公眾出入場所由管理人或受僱人拾得遺失物、隱匿拾得事實，或失主有急迫情事等，都不能請求報酬，超商店員職務上拾得即屬此列。,,當店員的浪漫，就是撿到錢也只能默默交出去。,民法第805條之1,上架
L06,法律,⚖️ 憲法法庭與實務,1,釋字第748號解釋要求2年內修法保障同性婚姻，若立法院沒有在期限內完成修法，會怎樣？,,同婚直接被視為違法,同性可依民法登記結婚,解釋自動失效,必須另外修憲才能生效,B,C,期限一到可依民法登記結婚,釋字第748號解釋理由書明定，若相關機關未能於期限內完成修法，同性二人可依民法婚姻章規定，持結婚證明文件辦理結婚登記。後來立法院在期限內通過同婚專法。,,大家只記得同婚合法化，卻很少人記得這其實是個「不修法也會生效」的解釋。,司法院釋字第748號,上架
L07,法律,⚖️ 憲法法庭與實務,2,記者跟拍藝人被拒絕仍不放棄尾隨拍照，可能違反哪部法律？,,個人資料保護法,跟蹤騷擾防制法,社會秩序維護法,著作權法,C,D,經勸阻仍跟追攝影，可依社會秩序維護法處罰,釋字第689號解釋審查社會秩序維護法第89條第2款，經勸阻仍繼續跟追可處罰，但具新聞價值且符合社會通念的採訪跟追，可能屬正當理由而不罰。,,所以狗仔隊不是不能跟拍，是不能在人家喊停之後還死纏著不放。,司法院釋字第689號,上架
L08,法律,⚖️ 憲法法庭與實務,3,在1997年釋字第392號解釋之前，偵查中決定要不要羈押被告的人是誰？,,法官,警察局長,監察委員,檢察官,D,C,釋字第392號後，羈押權才改由法院決定,釋字第392號解釋宣告當時刑事訴訟法賦予檢察官羈押決定權違憲，因羈押涉及人身自由重大限制，應由中立法院決定，之後羈押權才正式回歸法院。,,現在覺得羈押要法官裁定是天經地義，其實這是解釋之後才有的事。,司法院釋字第392號,上架
L09,法律,⚖️ 憲法法庭與實務,4,釋字第791號宣告通姦罪違憲失效後，配偶還能不能用「對方通姦」作為離婚事由？,,可以，民法仍列為離婚事由,不能，除罪化後也不能用,只能用在失效前案件,只有女方可以主張,A,D,通姦除罪化不影響民法上的離婚事由,釋字第791號只宣告刑法第239條通姦罪的刑罰違憲失效，但民法第1052條第1項第2款仍把「與配偶以外之人合意性交」列為裁判離婚事由，兩者是分開的。,,除罪不等於沒事，法庭上該離的婚，還是照樣可以離。,司法院釋字第791號；民法第1052條第1項第2款,上架
L10,法律,⚖️ 憲法法庭與實務,5,2024年憲法法庭113年憲判字第8號【死刑案】判決後，下列說法哪個正確？,,死刑全面違憲已事實廢除,死刑合憲但限縮適用,死刑違憲但可繼續執行,判決要求2年內修法廢死,B,A,死刑合憲，但適用範圍與程序被大幅限縮,113年憲判字第8號未宣告死刑制度全部違憲，而是認為死刑僅得適用於犯罪情節最嚴重、且程序符合最嚴密正當法律程序要求的情形，等於限縮而非廢除。,,新聞標題常讓人以為死刑被判違憲了，其實判決寫得比想像中保守很多。,憲法法庭113年憲判字第8號,上架
