id,領域,題型,難度,題目,圖片網址,A,B,C,D,正解,刪除選項優先,結論,詳解,冷知識,主持人口白,出處,狀態
,法律,法條冷門角落,1,缺id,,A,B,C,D,A,,略,詳解,,,,上架
q_ok,法律,法條冷門角落,1,正常題目,,A,B,C,D,A,,略,詳解,,,,上架
q_baddiff,法律,法條冷門角落,9,難度不合法,,A,B,C,D,A,,略,詳解,,,,上架
q_missingopt,法律,法條冷門角落,1,缺選項,,A,B,,D,A,,略,詳解,,,,上架
q_badcorrect,法律,法條冷門角落,1,正解不合法,,A,B,C,D,E,,略,詳解,,,,上架
q_removaleqcorrect,法律,法條冷門角落,1,刪除選項優先等於正解,,A,B,C,D,A,A,略,詳解,,,,上架
q_noexplanation,法律,法條冷門角落,1,缺詳解,,A,B,C,D,A,,略,,,,,上架
q_baddomain,外星,法條冷門角落,1,領域不合法,,A,B,C,D,A,,略,詳解,,,,上架
q_dup,法律,法條冷門角落,1,重複id測試,,A,B,C,D,A,,略,詳解,,,,上架
q_dup,法律,法條冷門角落,1,重複id測試第二筆,,A,B,C,D,A,,略,詳解,,,,上架
q_badstatus,法律,法條冷門角落,1,狀態不合法,,A,B,C,D,A,,略,詳解,,,,亂寫
